0,1,2,3,4,5,6,7,8
CN010010,01,001,"Autauga County, AL",2009,23288,21025,2263,9.7
PA011000,01,003,"Baldwin County, AL",2009,81706,74238,7468,9.1
CN010050,01,005,"Barbour County, AL",2009,9703,8401,1302,13.4
CN010070,01,007,"Bibb County, AL",2009,8475,7453,1022,12.1
CN010090,01,009,"Blount County, AL",2009,25306,22789,2517,9.9
CN010110,01,011,"Bullock County, AL",2009,3527,2948,579,16.4
CN010130,01,013,"Butler County, AL",2009,8884,7403,1481,16.7
PA010250,01,015,"Calhoun County, AL",2009,52055,46422,5633,10.8
CN010170,01,017,"Chambers County, AL",2009,13726,11171,2555,18.6
CN010190,01,019,"Cherokee County, AL",2009,11583,10220,1363,11.8
CN010210,01,021,"Chilton County, AL",2009,18697,16854,1843,9.9
CN010230,01,023,"Choctaw County, AL",2009,4925,4299,626,12.7
CN010250,01,025,"Clarke County, AL",2009,10300,8552,1748,17
CN010270,01,027,"Clay County, AL",2009,5474,4603,871,15.9
CN010290,01,029,"Cleburne County, AL",2009,6284,5633,651,10.4
CN010310,01,031,"Coffee County, AL",2009,19913,18228,1685,8.5
PA010900,01,033,"Colbert County, AL",2009,24202,21436,2766,11.4
CN010350,01,035,"Conecuh County, AL",2009,4835,3892,943,19.5
CN010370,01,037,"Coosa County, AL",2009,4510,3879,631,14
CN010390,01,039,"Covington County, AL",2009,16310,14663,1647,10.1
CN010410,01,041,"Crenshaw County, AL",2009,6280,5670,610,9.7
PA010400,01,043,"Cullman County, AL",2009,37658,34028,3630,9.6
PA010450,01,045,"Dale County, AL",2009,19281,17486,1795,9.3
PA010500,01,047,"Dallas County, AL",2009,15477,12209,3268,21.1
PA010270,01,049,"DeKalb County, AL",2009,29727,25489,4238,14.3
CN010510,01,051,"Elmore County, AL",2009,33928,30873,3055,9
CN010530,01,053,"Escambia County, AL",2009,14439,12580,1859,12.9
PS010010,01,055,"Etowah County, AL",2009,44279,39524,4755,10.7
CN010570,01,057,"Fayette County, AL",2009,6744,5880,864,12.8
CN010590,01,059,"Franklin County, AL",2009,12754,11191,1563,12.3
CN010610,01,061,"Geneva County, AL",2009,10930,9835,1095,10
CN010630,01,063,"Greene County, AL",2009,3250,2773,477,14.7
CN010650,01,065,"Hale County, AL",2009,6821,5953,868,12.7
CN010670,01,067,"Henry County, AL",2009,6993,6301,692,9.9
PA010550,01,069,"Houston County, AL",2009,44214,40278,3936,8.9
PA010570,01,071,"Jackson County, AL",2009,25222,22243,2979,11.8
PS010050,01,073,"Jefferson County, AL",2009,299680,267493,32187,10.7
CN010750,01,075,"Lamar County, AL",2009,5478,4666,812,14.8
PA010600,01,077,"Lauderdale County, AL",2009,40952,36638,4314,10.5
CN010790,01,079,"Lawrence County, AL",2009,15496,13396,2100,13.6
PA010650,01,081,"Lee County, AL",2009,61392,56083,5309,8.6
CN010830,01,083,"Limestone County, AL",2009,35769,32443,3326,9.3
CN010850,01,085,"Lowndes County, AL",2009,4814,3923,891,18.5
CN010870,01,087,"Macon County, AL",2009,8883,7871,1012,11.4
CN010890,01,089,"Madison County, AL",2009,160077,147994,12083,7.5
CN010910,01,091,"Marengo County, AL",2009,7805,6648,1157,14.8
CN010930,01,093,"Marion County, AL",2009,12146,10296,1850,15.2
PA010700,01,095,"Marshall County, AL",2009,40020,36346,3674,9.2
CN010970,01,097,"Mobile County, AL",2009,181879,161763,20116,11.1
CN010990,01,099,"Monroe County, AL",2009,8419,6842,1577,18.7
CN011010,01,101,"Montgomery County, AL",2009,101133,90778,10355,10.2
PA010750,01,103,"Morgan County, AL",2009,53923,48297,5626,10.4
CN011050,01,105,"Perry County, AL",2009,3616,2900,716,19.8
CN011070,01,107,"Pickens County, AL",2009,7723,6718,1005,13
CN011090,01,109,"Pike County, AL",2009,15346,14010,1336,8.7
CN011110,01,111,"Randolph County, AL",2009,8827,7497,1330,15.1
CN011130,01,113,"Russell County, AL",2009,20860,18240,2620,12.6
CN011150,01,115,"St. Clair County, AL",2009,34452,30774,3678,10.7
PA011100,01,117,"Shelby County, AL",2009,92888,85783,7105,7.6
CN011190,01,119,"Sumter County, AL",2009,4562,3926,636,13.9
PA010800,01,121,"Talladega County, AL",2009,37033,31986,5047,13.6
CN011230,01,123,"Tallapoosa County, AL",2009,17664,15238,2426,13.7
PS010220,01,125,"Tuscaloosa County, AL",2009,85253,77612,7641,9
PA010850,01,127,"Walker County, AL",2009,27883,24575,3308,11.9
CN011290,01,129,"Washington County, AL",2009,6626,5625,1001,15.1
CN011310,01,131,"Wilcox County, AL",2009,3547,2638,909,25.6
CN011330,01,133,"Winston County, AL",2009,9094,7506,1588,17.5
CN020130,02,013,"Aleutians East Borough, AK",2009,1148,1032,116,10.1
CN020100,02,016,"Aleutians West Census Area, AK",2009,2903,2658,245,8.4
CN020200,02,020,"Anchorage Borough/municipality, AK",2009,153264,142563,10701,7
CN020500,02,050,"Bethel Census Area, AK",2009,7061,6014,1047,14.8
CN020600,02,060,"Bristol Bay Borough, AK",2009,1159,1117,42,3.6
CN020680,02,068,"Denali Borough, AK",2009,2300,2221,79,3.4
CN020700,02,070,"Dillingham Census Area, AK",2009,2634,2413,221,8.4
CN020900,02,090,"Fairbanks North Star Borough, AK",2009,45632,42496,3136,6.9
CN021000,02,100,"Haines Borough, AK",2009,1588,1490,98,6.2
CN021100,02,110,"Juneau Borough/city, AK",2009,18615,17545,1070,5.7
CN021220,02,122,"Kenai Peninsula Borough, AK",2009,26463,23905,2558,9.7
CN021300,02,130,"Ketchikan Gateway Borough, AK",2009,8781,8249,532,6.1
CN021500,02,150,"Kodiak Island Borough, AK",2009,6423,6000,423,6.6
CN021640,02,164,"Lake and Peninsula Borough, AK",2009,1372,1291,81,5.9
CN021700,02,170,"Matanuska-Susitna Borough, AK",2009,40287,36735,3552,8.8
CN021800,02,180,"Nome Census Area, AK",2009,3877,3406,471,12.1
CN021850,02,185,"North Slope Borough, AK",2009,5119,4826,293,5.7
CN021880,02,188,"Northwest Arctic Borough, AK",2009,2805,2434,371,13.2
CN022010,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2009,2507,2165,342,13.6
CN022200,02,220,"Sitka Borough/city, AK",2009,4707,4430,277,5.9
CN022310,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2009,2278,2111,167,7.3
CN022400,02,240,"Southeast Fairbanks Census Area, AK",2009,3673,3374,299,8.1
CN022610,02,261,"Valdez-Cordova Census Area, AK",2009,5789,5416,373,6.4
CN022700,02,270,"Wade Hampton Census Area, AK",2009,2807,2235,572,20.4
CN022800,02,280,"Wrangell-Petersburg Census Area, AK",2009,2836,2558,278,9.8
CN022820,02,282,"Yakutat Borough, AK",2009,350,328,22,6.3
CN022900,02,290,"Yukon-Koyukuk Census Area, AK",2009,2790,2411,379,13.6
PA040800,04,001,"Apache County, AZ",2009,22797,19434,3363,14.8
PA040400,04,003,"Cochise County, AZ",2009,62754,58122,4632,7.4
PA040600,04,005,"Coconino County, AZ",2009,74896,69099,5797,7.7
CN040070,04,007,"Gila County, AZ",2009,22859,20378,2481,10.9
CN040090,04,009,"Graham County, AZ",2009,14430,12357,2073,14.4
CN040110,04,011,"Greenlee County, AZ",2009,4450,3494,956,21.5
CN040120,04,012,"La Paz County, AZ",2009,7812,7120,692,8.9
CN040130,04,013,"Maricopa County, AZ",2009,2001233,1832115,169118,8.5
PA040900,04,015,"Mohave County, AZ",2009,92909,83396,9513,10.2
PA040550,04,017,"Navajo County, AZ",2009,40715,34941,5774,14.2
CN040190,04,019,"Pima County, AZ",2009,489560,448666,40894,8.4
PA040450,04,021,"Pinal County, AZ",2009,117530,103715,13815,11.8
CN040230,04,023,"Santa Cruz County, AZ",2009,18760,15529,3231,17.2
PA040700,04,025,"Yavapai County, AZ",2009,99997,90536,9461,9.5
PA040500,04,027,"Yuma County, AZ",2009,89436,67791,21645,24.2
CN050010,05,001,"Arkansas County, AR",2009,12228,10476,1752,14.3
CN050030,05,003,"Ashley County, AR",2009,9221,8381,840,9.1
CN050050,05,005,"Baxter County, AR",2009,17471,16047,1424,8.2
PA050250,05,007,"Benton County, AR",2009,105604,100010,5594,5.3
CN050090,05,009,"Boone County, AR",2009,16932,15856,1076,6.4
CN050110,05,011,"Bradley County, AR",2009,4974,4584,390,7.8
CN050130,05,013,"Calhoun County, AR",2009,2520,2365,155,6.2
CN050150,05,015,"Carroll County, AR",2009,14278,13660,618,4.3
CN050170,05,017,"Chicot County, AR",2009,4642,4195,447,9.6
CN050190,05,019,"Clark County, AR",2009,11000,10303,697,6.3
CN050210,05,021,"Clay County, AR",2009,6369,5705,664,10.4
CN050230,05,023,"Cleburne County, AR",2009,11863,11158,705,5.9
CN050250,05,025,"Cleveland County, AR",2009,4079,3833,246,6
CN050270,05,027,"Columbia County, AR",2009,10694,9827,867,8.1
CN050290,05,029,"Conway County, AR",2009,10357,9687,670,6.5
PA050300,05,031,"Craighead County, AR",2009,46944,44182,2762,5.9
CN050330,05,033,"Crawford County, AR",2009,28913,26999,1914,6.6
PA050700,05,035,"Crittenden County, AR",2009,22459,20239,2220,9.9
CN050370,05,037,"Cross County, AR",2009,8307,7718,589,7.1
CN050390,05,039,"Dallas County, AR",2009,3867,3574,293,7.6
CN050410,05,041,"Desha County, AR",2009,5620,5065,555,9.9
CN050430,05,043,"Drew County, AR",2009,8176,7432,744,9.1
CN050450,05,045,"Faulkner County, AR",2009,55883,52515,3368,6
CN050470,05,047,"Franklin County, AR",2009,8677,8163,514,5.9
CN050490,05,049,"Fulton County, AR",2009,5301,4975,326,6.1
PA050400,05,051,"Garland County, AR",2009,43280,40445,2835,6.6
CN050530,05,053,"Grant County, AR",2009,8608,8119,489,5.7
CN050550,05,055,"Greene County, AR",2009,19581,17966,1615,8.2
CN050570,05,057,"Hempstead County, AR",2009,10481,9578,903,8.6
CN050590,05,059,"Hot Spring County, AR",2009,15025,13932,1093,7.3
CN050610,05,061,"Howard County, AR",2009,6323,5870,453,7.2
CN050630,05,063,"Independence County, AR",2009,16501,15209,1292,7.8
CN050650,05,065,"Izard County, AR",2009,5528,5100,428,7.7
CN050670,05,067,"Jackson County, AR",2009,7785,7072,713,9.2
CN050690,05,069,"Jefferson County, AR",2009,35266,32004,3262,9.2
CN050710,05,071,"Johnson County, AR",2009,11837,11120,717,6.1
CN050730,05,073,"Lafayette County, AR",2009,2978,2721,257,8.6
CN050750,05,075,"Lawrence County, AR",2009,7222,6651,571,7.9
CN050770,05,077,"Lee County, AR",2009,3394,3115,279,8.2
CN050790,05,079,"Lincoln County, AR",2009,4923,4520,403,8.2
CN050810,05,081,"Little River County, AR",2009,6862,6478,384,5.6
CN050830,05,083,"Logan County, AR",2009,10189,9404,785,7.7
CN050850,05,085,"Lonoke County, AR",2009,31829,30168,1661,5.2
CN050870,05,087,"Madison County, AR",2009,7797,7382,415,5.3
CN050890,05,089,"Marion County, AR",2009,6935,6160,775,11.2
CN050910,05,091,"Miller County, AR",2009,19924,19029,895,4.5
PA050500,05,093,"Mississippi County, AR",2009,21913,19439,2474,11.3
CN050950,05,095,"Monroe County, AR",2009,3542,3279,263,7.4
CN050970,05,097,"Montgomery County, AR",2009,4017,3785,232,5.8
CN050990,05,099,"Nevada County, AR",2009,4177,3815,362,8.7
CN051010,05,101,"Newton County, AR",2009,3504,3286,218,6.2
CN051030,05,103,"Ouachita County, AR",2009,11570,10745,825,7.1
CN051050,05,105,"Perry County, AR",2009,4851,4577,274,5.6
CN051070,05,107,"Phillips County, AR",2009,8582,7829,753,8.8
CN051090,05,109,"Pike County, AR",2009,5132,4808,324,6.3
CN051110,05,111,"Poinsett County, AR",2009,11075,10247,828,7.5
CN051130,05,113,"Polk County, AR",2009,8985,8411,574,6.4
CN051150,05,115,"Pope County, AR",2009,29690,27836,1854,6.2
CN051170,05,117,"Prairie County, AR",2009,4218,3937,281,6.7
CN051190,05,119,"Pulaski County, AR",2009,192660,181159,11501,6
CN051210,05,121,"Randolph County, AR",2009,7535,6983,552,7.3
CN051230,05,123,"St. Francis County, AR",2009,10130,9176,954,9.4
PA050800,05,125,"Saline County, AR",2009,49630,46772,2858,5.8
CN051270,05,127,"Scott County, AR",2009,4818,4513,305,6.3
CN051290,05,129,"Searcy County, AR",2009,3657,3441,216,5.9
CN051310,05,131,"Sebastian County, AR",2009,62696,58823,3873,6.2
CN051330,05,133,"Sevier County, AR",2009,7400,7025,375,5.1
CN051350,05,135,"Sharp County, AR",2009,6346,5854,492,7.8
CN051370,05,137,"Stone County, AR",2009,4725,4412,313,6.6
CN051390,05,139,"Union County, AR",2009,18635,16863,1772,9.5
CN051410,05,141,"Van Buren County, AR",2009,6983,6348,635,9.1
CN051430,05,143,"Washington County, AR",2009,104999,99706,5293,5
PA050900,05,145,"White County, AR",2009,34577,32251,2326,6.7
CN051470,05,147,"Woodruff County, AR",2009,3434,3122,312,9.1
CN051490,05,149,"Yell County, AR",2009,10512,9836,676,6.4
CN060010,06,001,"Alameda County, CA",2009,768686,681465,87221,11.3
CN060030,06,003,"Alpine County, CA",2009,415,352,63,15.2
CN060050,06,005,"Amador County, CA",2009,17958,15787,2171,12.1
PS060150,06,007,"Butte County, CA",2009,105395,92585,12810,12.2
CN060090,06,009,"Calaveras County, CA",2009,20999,18004,2995,14.3
CN060110,06,011,"Colusa County, CA",2009,11158,9537,1621,14.5
CN060130,06,013,"Contra Costa County, CA",2009,529871,470422,59449,11.2
CN060150,06,015,"Del Norte County, CA",2009,11871,10459,1412,11.9
PA063750,06,017,"El Dorado County, CA",2009,91244,81027,10217,11.2
CN060190,06,019,"Fresno County, CA",2009,452170,388633,63537,14.1
CN060210,06,021,"Glenn County, CA",2009,12591,10857,1734,13.8
PS060300,06,023,"Humboldt County, CA",2009,59992,53802,6190,10.3
PS060350,06,025,"Imperial County, CA",2009,76893,53734,23159,30.1
CN060270,06,027,"Inyo County, CA",2009,8980,8124,856,9.5
PS060400,06,029,"Kern County, CA",2009,377391,325089,52302,13.9
PA062730,06,031,"Kings County, CA",2009,59713,51417,8296,13.9
CN060330,06,033,"Lake County, CA",2009,25886,22082,3804,14.7
CN060350,06,035,"Lassen County, CA",2009,13512,11911,1601,11.8
CN060370,06,037,"Los Angeles County, CA",2009,4923821,4298168,625653,12.7
PA064200,06,039,"Madera County, CA",2009,70354,61696,8658,12.3
PS060550,06,041,"Marin County, CA",2009,134608,123867,10741,8
CN060430,06,043,"Mariposa County, CA",2009,9975,9097,878,8.8
PA063550,06,045,"Mendocino County, CA",2009,43422,39036,4386,10.1
PS060600,06,047,"Merced County, CA",2009,106663,89944,16719,15.7
CN060490,06,049,"Modoc County, CA",2009,4051,3603,448,11.1
CN060510,06,051,"Mono County, CA",2009,7877,7067,810,10.3
PS060620,06,053,"Monterey County, CA",2009,217030,195359,21671,10
PA063600,06,055,"Napa County, CA",2009,75626,69082,6544,8.7
PA065000,06,057,"Nevada County, CA",2009,49728,44287,5441,10.9
PS060670,06,059,"Orange County, CA",2009,1624855,1472354,152501,9.4
PS061500,06,061,"Placer County, CA",2009,175065,155278,19787,11.3
CN060630,06,063,"Plumas County, CA",2009,10213,8792,1421,13.9
CN060650,06,065,"Riverside County, CA",2009,915624,780829,134795,14.7
PS061350,06,067,"Sacramento County, CA",2009,687918,604178,83740,12.2
CN060690,06,069,"San Benito County, CA",2009,24764,21667,3097,12.5
CN060710,06,071,"San Bernardino County, CA",2009,867524,749737,117787,13.6
PS060850,06,073,"San Diego County, CA",2009,1560010,1400165,159845,10.2
PS060900,06,075,"San Francisco County/city, CA",2009,447099,403719,43380,9.7
PS061080,06,077,"San Joaquin County, CA",2009,304586,257437,47149,15.5
CN060790,06,079,"San Luis Obispo County, CA",2009,138449,125943,12506,9
PS061000,06,081,"San Mateo County, CA",2009,380819,346423,34396,9
PS061010,06,083,"Santa Barbara County, CA",2009,221571,202743,18828,8.5
CN060850,06,085,"Santa Clara County, CA",2009,886563,782175,104388,11.8
PS061030,06,087,"Santa Cruz County, CA",2009,147934,132792,15142,10.2
PS061450,06,089,"Shasta County, CA",2009,83975,71649,12326,14.7
CN060910,06,091,"Sierra County, CA",2009,1542,1330,212,13.7
CN060930,06,093,"Siskiyou County, CA",2009,18873,16323,2550,13.5
PS061050,06,095,"Solano County, CA",2009,214355,189664,24691,11.5
PS061060,06,097,"Sonoma County, CA",2009,262368,236354,26014,9.9
PS061070,06,099,"Stanislaus County, CA",2009,243184,205971,37213,15.3
PA065100,06,101,"Sutter County, CA",2009,41627,35321,6306,15.1
CN061030,06,103,"Tehama County, CA",2009,26219,22634,3585,13.7
CN061050,06,105,"Trinity County, CA",2009,4696,3947,749,15.9
PS061210,06,107,"Tulare County, CA",2009,206315,175643,30672,14.9
CN061090,06,109,"Tuolumne County, CA",2009,25903,22607,3296,12.7
PS061220,06,111,"Ventura County, CA",2009,428779,381581,47198,11
CN061130,06,113,"Yolo County, CA",2009,97523,86909,10614,10.9
CN061150,06,115,"Yuba County, CA",2009,28801,23673,5128,17.8
CN080010,08,001,"Adams County, CO",2009,221638,203781,17857,8.1
CN080030,08,003,"Alamosa County, CO",2009,8582,8110,472,5.5
PS080100,08,005,"Arapahoe County, CO",2009,305320,284392,20928,6.9
CN080070,08,007,"Archuleta County, CO",2009,6407,6007,400,6.2
CN080090,08,009,"Baca County, CO",2009,2756,2662,94,3.4
CN080110,08,011,"Bent County, CO",2009,2879,2735,144,5
CN080130,08,013,"Boulder County, CO",2009,172279,162725,9554,5.5
CN080140,08,014,"Broomfield County/city, CO",2009,30023,28031,1992,6.6
CN080150,08,015,"Chaffee County, CO",2009,8322,7895,427,5.1
CN080170,08,017,"Cheyenne County, CO",2009,1385,1357,28,2
CN080190,08,019,"Clear Creek County, CO",2009,5668,5272,396,7
CN080210,08,021,"Conejos County, CO",2009,3663,3477,186,5.1
CN080230,08,023,"Costilla County, CO",2009,1371,1256,115,8.4
CN080250,08,025,"Crowley County, CO",2009,1984,1833,151,7.6
CN080270,08,027,"Custer County, CO",2009,1986,1883,103,5.2
CN080290,08,029,"Delta County, CO",2009,17164,16035,1129,6.6
PS080250,08,031,"Denver County/city, CO",2009,316703,292389,24314,7.7
CN080330,08,033,"Dolores County, CO",2009,1092,948,144,13.2
CN080350,08,035,"Douglas County, CO",2009,154518,145469,9049,5.9
CN080370,08,037,"Eagle County, CO",2009,30469,28586,1883,6.2
CN080390,08,039,"Elbert County, CO",2009,12706,11945,761,6
PS080200,08,041,"El Paso County, CO",2009,293486,272393,21093,7.2
CN080430,08,043,"Fremont County, CO",2009,19057,17593,1464,7.7
CN080450,08,045,"Garfield County, CO",2009,39170,36905,2265,5.8
CN080470,08,047,"Gilpin County, CO",2009,3397,3192,205,6
CN080490,08,049,"Grand County, CO",2009,8934,8420,514,5.8
CN080510,08,051,"Gunnison County, CO",2009,9291,8883,408,4.4
CN080530,08,053,"Hinsdale County, CO",2009,772,755,17,2.2
CN080550,08,055,"Huerfano County, CO",2009,3577,3321,256,7.2
CN080570,08,057,"Jackson County, CO",2009,1368,1323,45,3.3
CN080590,08,059,"Jefferson County, CO",2009,303461,283220,20241,6.7
CN080610,08,061,"Kiowa County, CO",2009,1128,1096,32,2.8
CN080630,08,063,"Kit Carson County, CO",2009,4952,4808,144,2.9
CN080650,08,065,"Lake County, CO",2009,3975,3694,281,7.1
CN080670,08,067,"La Plata County, CO",2009,30342,28925,1417,4.7
PS080310,08,069,"Larimer County, CO",2009,175721,165862,9859,5.6
CN080710,08,071,"Las Animas County, CO",2009,9159,8517,642,7
CN080730,08,073,"Lincoln County, CO",2009,3074,2959,115,3.7
CN080750,08,075,"Logan County, CO",2009,11763,11227,536,4.6
PA080250,08,077,"Mesa County, CO",2009,83106,76330,6776,8.2
CN080790,08,079,"Mineral County, CO",2009,474,449,25,5.3
CN080810,08,081,"Moffat County, CO",2009,8843,8350,493,5.6
CN080830,08,083,"Montezuma County, CO",2009,12802,11990,812,6.3
CN080850,08,085,"Montrose County, CO",2009,20954,19512,1442,6.9
CN080870,08,087,"Morgan County, CO",2009,15030,14294,736,4.9
CN080890,08,089,"Otero County, CO",2009,9035,8515,520,5.8
CN080910,08,091,"Ouray County, CO",2009,3122,2993,129,4.1
CN080930,08,093,"Park County, CO",2009,9554,8969,585,6.1
CN080950,08,095,"Phillips County, CO",2009,2717,2647,70,2.6
CN080970,08,097,"Pitkin County, CO",2009,11339,10767,572,5
CN080990,08,099,"Prowers County, CO",2009,7186,6828,358,5
PS080320,08,101,"Pueblo County, CO",2009,72663,67205,5458,7.5
CN081030,08,103,"Rio Blanco County, CO",2009,5342,5131,211,3.9
CN081050,08,105,"Rio Grande County, CO",2009,6919,6584,335,4.8
CN081070,08,107,"Routt County, CO",2009,14614,13738,876,6
CN081090,08,109,"Saguache County, CO",2009,3686,3399,287,7.8
CN081110,08,111,"San Juan County, CO",2009,603,571,32,5.3
CN081130,08,113,"San Miguel County, CO",2009,5160,4941,219,4.2
CN081150,08,115,"Sedgwick County, CO",2009,1649,1594,55,3.3
CN081170,08,117,"Summit County, CO",2009,15115,14238,877,5.8
CN081190,08,119,"Teller County, CO",2009,12234,11413,821,6.7
CN081210,08,121,"Washington County, CO",2009,3047,2948,99,3.2
PS080330,08,123,"Weld County, CO",2009,120783,111699,9084,7.5
CN081250,08,125,"Yuma County, CO",2009,7871,7664,207,2.6
CN090010,09,001,"Fairfield County, CT",2009,469462,432748,36714,7.8
CN090030,09,003,"Hartford County, CT",2009,458201,418088,40113,8.8
CN090050,09,005,"Litchfield County, CT",2009,105162,96865,8297,7.9
CN090070,09,007,"Middlesex County, CT",2009,93277,87003,6274,6.7
CN090090,09,009,"New Haven County, CT",2009,450597,410588,40009,8.9
CN090110,09,011,"New London County, CT",2009,149170,137772,11398,7.6
CN090130,09,013,"Tolland County, CT",2009,83991,78358,5633,6.7
CN090150,09,015,"Windham County, CT",2009,63928,58180,5748,9
CN100010,10,001,"Kent County, DE",2009,71260,65618,5642,7.9
CN100030,10,003,"New Castle County, DE",2009,264048,241395,22653,8.6
PA100100,10,005,"Sussex County, DE",2009,91476,84759,6717,7.3
PS110050,11,001,District of Columbia,2009,327847,289501,38346,11.7
CN120010,12,001,"Alachua County, FL",2009,132262,122911,9351,7.1
CN120030,12,003,"Baker County, FL",2009,12185,10798,1387,11.4
PA121150,12,005,"Bay County, FL",2009,89191,81260,7931,8.9
CN120070,12,007,"Bradford County, FL",2009,12844,11777,1067,8.3
PS120030,12,009,"Brevard County, FL",2009,269039,239183,29856,11.1
PS120050,12,011,"Broward County, FL",2009,1007323,908754,98569,9.8
CN120130,12,013,"Calhoun County, FL",2009,6086,5584,502,8.2
CN120150,12,015,"Charlotte County, FL",2009,69026,60227,8799,12.7
PA121550,12,017,"Citrus County, FL",2009,59333,52128,7205,12.1
PA121450,12,019,"Clay County, FL",2009,94372,85125,9247,9.8
PA121400,12,021,"Collier County, FL",2009,143967,125111,18856,13.1
CN120230,12,023,"Columbia County, FL",2009,33518,30514,3004,9
CN120270,12,027,"DeSoto County, FL",2009,15100,13336,1764,11.7
CN120290,12,029,"Dixie County, FL",2009,5681,4985,696,12.3
PA120600,12,031,"Duval County, FL",2009,448078,397682,50396,11.2
PS120100,12,033,"Escambia County, FL",2009,140660,126906,13754,9.8
CN120350,12,035,"Flagler County, FL",2009,31293,26225,5068,16.2
CN120370,12,037,"Franklin County, FL",2009,4670,4339,331,7.1
CN120390,12,039,"Gadsden County, FL",2009,21300,19256,2044,9.6
CN120410,12,041,"Gilchrist County, FL",2009,7989,7190,799,10
CN120430,12,043,"Glades County, FL",2009,5096,4584,512,10
CN120450,12,045,"Gulf County, FL",2009,6449,5819,630,9.8
CN120470,12,047,"Hamilton County, FL",2009,4952,4394,558,11.3
CN120490,12,049,"Hardee County, FL",2009,12073,10547,1526,12.6
CN120510,12,051,"Hendry County, FL",2009,18302,15236,3066,16.8
CN120530,12,053,"Hernando County, FL",2009,63278,54530,8748,13.8
CN120550,12,055,"Highlands County, FL",2009,41883,37012,4871,11.6
CN120570,12,057,"Hillsborough County, FL",2009,605620,535858,69762,11.5
CN120590,12,059,"Holmes County, FL",2009,9342,8667,675,7.2
PA121600,12,061,"Indian River County, FL",2009,61145,51833,9312,15.2
CN120630,12,063,"Jackson County, FL",2009,22680,21057,1623,7.2
CN120650,12,065,"Jefferson County, FL",2009,6909,6323,586,8.5
CN120670,12,067,"Lafayette County, FL",2009,3181,2951,230,7.2
PS120640,12,069,"Lake County, FL",2009,135749,119065,16684,12.3
PS120170,12,071,"Lee County, FL",2009,272069,234280,37789,13.9
CN120730,12,073,"Leon County, FL",2009,146619,136109,10510,7.2
CN120750,12,075,"Levy County, FL",2009,17331,15231,2100,12.1
CN120770,12,077,"Liberty County, FL",2009,4092,3877,215,5.3
CN120790,12,079,"Madison County, FL",2009,6983,6166,817,11.7
CN120810,12,081,"Manatee County, FL",2009,143094,124962,18132,12.7
PS120570,12,083,"Marion County, FL",2009,139149,120579,18570,13.3
PA120470,12,085,"Martin County, FL",2009,63520,55945,7575,11.9
CN120860,12,086,"Miami-Dade County, FL",2009,1232503,1092758,139745,11.3
PA120550,12,087,"Monroe County, FL",2009,47361,44058,3303,7
CN120890,12,089,"Nassau County, FL",2009,35810,31984,3826,10.7
PS120370,12,091,"Okaloosa County, FL",2009,96296,89367,6929,7.2
CN120930,12,093,"Okeechobee County, FL",2009,18508,16050,2458,13.3
PS120400,12,095,"Orange County, FL",2009,604165,535531,68634,11.4
CN120970,12,097,"Osceola County, FL",2009,136467,119067,17400,12.8
PS120420,12,099,"Palm Beach County, FL",2009,626400,552985,73415,11.7
PS120450,12,101,"Pasco County, FL",2009,197089,172393,24696,12.5
PS120550,12,103,"Pinellas County, FL",2009,456433,405380,51053,11.2
CN121050,12,105,"Polk County, FL",2009,274250,239328,34922,12.7
CN121070,12,107,"Putnam County, FL",2009,33400,29325,4075,12.2
CN121090,12,109,"St. Johns County, FL",2009,92423,84096,8327,9
PA121350,12,111,"St. Lucie County, FL",2009,124102,105175,18927,15.3
PA121370,12,113,"Santa Rosa County, FL",2009,69478,62941,6537,9.4
CN121150,12,115,"Sarasota County, FL",2009,165040,144763,20277,12.3
PS120500,12,117,"Seminole County, FL",2009,240803,215289,25514,10.6
CN121190,12,119,"Sumter County, FL",2009,32604,29669,2935,9
CN121210,12,121,"Suwannee County, FL",2009,18101,16325,1776,9.8
CN121230,12,123,"Taylor County, FL",2009,9390,8410,980,10.4
CN121250,12,125,"Union County, FL",2009,5364,4915,449,8.4
CN121270,12,127,"Volusia County, FL",2009,253582,224000,29582,11.7
CN121290,12,129,"Wakulla County, FL",2009,15312,14210,1102,7.2
CN121310,12,131,"Walton County, FL",2009,32890,30647,2243,6.8
CN121330,12,133,"Washington County, FL",2009,10204,9228,976,9.6
CN130010,13,001,"Appling County, GA",2009,9685,8741,944,9.7
CN130030,13,003,"Atkinson County, GA",2009,3354,2932,422,12.6
CN130050,13,005,"Bacon County, GA",2009,4879,4465,414,8.5
CN130070,13,007,"Baker County, GA",2009,1620,1473,147,9.1
CN130090,13,009,"Baldwin County, GA",2009,20379,18008,2371,11.6
CN130110,13,011,"Banks County, GA",2009,11108,10368,740,6.7
CN130130,13,013,"Barrow County, GA",2009,33221,29546,3675,11.1
CN130150,13,015,"Bartow County, GA",2009,45821,39720,6101,13.3
CN130170,13,017,"Ben Hill County, GA",2009,7434,6299,1135,15.3
CN130190,13,019,"Berrien County, GA",2009,8203,7184,1019,12.4
CN130210,13,021,"Bibb County, GA",2009,73133,65836,7297,10
CN130230,13,023,"Bleckley County, GA",2009,5346,4829,517,9.7
CN130250,13,025,"Brantley County, GA",2009,7806,6902,904,11.6
CN130270,13,027,"Brooks County, GA",2009,8313,7592,721,8.7
